"ID","genotype","site","year","population","SowDate","Harvest","CheckpointID","SimulationID","Zone","Clock.Today","Soybean.Phenology.Stage","Soybean.Phenology.CurrentStageName","Soybean.AboveGround.Wt","Yield","Soybean.Grain.Size","Soybean.Grain.Number","Soybean.Total.Wt","Soybean.Leaf.FRGR","Soybean.Leaf.Fw","Soybean.Leaf.Photosynthesis.FT","Soybean.Leaf.Photosynthesis.FW","Soybean.WaterUptake(1)","Soybean.WaterUptake(2)","Soybean.WaterUptake(3)","Soybean.WaterUptake(4)","Soybean.WaterUptake(5)","Soybean.WaterUptake(6)","Soybean.WaterUptake(7)","Soybean.WaterUptake(8)","Soybean.WaterUptake(9)","Soybean.WaterUptake(10)","Date"
"Eri09_MG4_39_04-jun_05-nov","Generic_MG4","Erie",2009,39,"04-jun","05-nov",1,1,"paddock","2009-07-24 12:00:00",4.05251054004759,"StartFlowering",379.55159088539,0,0,0,506.21857110366,1,0.920708298378831,1,0.920708298378831,2.13809407720919,1.58720158802744,0.612386625931998,0.342260050010002,0.491904884962063,0.484934101935999,0.511558537605833,0.113961646701922,0,0,2009-07-24
"Eri09_MG5_34_04-jun_05-nov","Generic_MG5","Erie",2009,34,"04-jun","05-nov",1,1,"paddock","2009-08-01 12:00:00",4.04189757252848,"StartFlowering",467.536083830595,0,0,0,633.809973077341,1,0.774958694479862,1,0.774958694479862,1.17689115653381,1.07345023592299,0.494966373442521,0.253223267960238,0.403303145100514,0.404383445896503,0.449494459440759,0.43716768184517,0.25021946399962,0,2009-08-01
"Eri09_MG5_39_04-jun_05-nov","Generic_MG5","Erie",2009,39,"04-jun","05-nov",1,1,"paddock","2009-08-01 12:00:00",4.04189757252848,"StartFlowering",492.716087332105,0,0,0,661.1458776518,1,0.742914156956045,1,0.742914156956045,1.20029122630095,1.05750414928645,0.480406361035757,0.248162428452325,0.400008766863114,0.402584338871645,0.448325063374496,0.437095233780261,0.25014642446519,0,2009-08-01
"Eri10_MG5_34_27-may_18-oct","Generic_MG5","Erie",2010,34,"27-may","18-oct",1,1,"paddock","2010-07-22 12:00:00",4.02956932831246,"StartFlowering",512.078637293144,0,0,0,698.895363897405,1,1,1,1,1.51713704266937,1.50443576524746,1.19178128358451,0.682660336460133,0.590330813217498,0.436520795309282,0.418737119208144,0.385994126484074,0.0742143276846438,0,2010-07-22
"Eri10_MG5_39_27-may_18-oct","Generic_MG5","Erie",2010,39,"27-may","18-oct",1,1,"paddock","2010-07-22 12:00:00",4.02956932831246,"StartFlowering",547.288230815854,0,0,0,741.281697019885,1,1,1,1,1.59523857442953,1.57193523646159,1.23555239616774,0.691402661296961,0.605232727321359,0.438898777649407,0.436649383952082,0.406250925167874,0.0781815948394218,0,2010-07-22
"Eri11_MG4_39_06-jun_01-nov","Generic_MG4","Erie",2011,39,"06-jun","01-nov",1,1,"paddock","2011-07-25 12:00:00",4.01314188757997,"StartFlowering",318.776473164296,0,0,0,415.418821293177,0.889999961853027,0.664054179823712,0.889999961853027,0.664054179823712,2.00545354448508,0.399019707959003,0.523609951456854,0.305471464066952,0.485543533757631,0.486097817068818,0.514140302200927,0.0449515913688736,0,0,2011-07-25
"Eri11_MG5_34_06-jun_01-nov","Generic_MG5","Erie",2011,34,"06-jun","01-nov",1,1,"paddock","2011-08-02 12:00:00",4.00991460973103,"StartFlowering",372.606587845017,0,0,0,488.47104855095,0.665000057220459,0.392988296586397,0.665000057220459,0.392988296586397,0.522368189055924,0.295055816614896,0.398839953534084,0.221413749568356,0.394367526996229,0.403168622168701,0.450176479548895,0.438938996506936,0.167118024216629,0,2011-08-02
"Eri12_MG4_39_21-may_24-oct","Generic_MG4","Erie",2012,39,"21-may","24-oct",1,1,"paddock","2012-07-13 12:00:00",4.00898410113777,"StartFlowering",368.096530836266,0,0,0,485.236954484302,1,0.386096845188699,1,0.386096845188699,0.225092371038713,0.449020235691247,0.530737601760609,0.295293141274727,0.452568662486725,0.451768519685237,0.487483005580331,0.257533845570442,0,0,2012-07-13
"Eri12_MG5_34_22-may_24-oct","Generic_MG5","Erie",2012,34,"22-may","24-oct",1,1,"paddock","2012-07-23 12:00:00",4.01767529540535,"StartFlowering",416.706898277139,0,0,0,550.079900384825,0.920000076293945,0.364711200988672,0.920000076293945,0.364711200988672,0,0.302702772505414,0.39413678248239,0.20646478703912,0.358399395783639,0.366489997246787,0.420940679550232,0.425477691890563,0.488595237924467,0,2012-07-23
"Eri12_MG5_39_21-may_24-oct","Generic_MG5","Erie",2012,39,"21-may","24-oct",1,1,"paddock","2012-07-23 12:00:00",4.04416358940987,"StartFlowering",454.689415184676,0,0,0,593.683174409759,0.920000076293945,0.348388501925871,0.920000076293945,0.348388501925871,0,0.278313382805881,0.371418901033758,0.195666466386293,0.348826292302239,0.358083739025213,0.414227463866827,0.421724251992054,0.519607484592756,0.0356912838187285,2012-07-23
